"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "XML", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\client\src\components\Sidebar.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 8, 90
"d:\project\DATN\spotify-clone\client\src\components\SidebarItem.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"d:\project\DATN\spotify-clone\client\src\components\SignUpModal.tsx", "TypeScript JSX", 0, 0, 0, 184, 0, 0, 0, 0, 0, 9, 193
"d:\project\DATN\spotify-clone\client\src\components\Slider.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 6, 33
"d:\project\DATN\spotify-clone\client\src\components\SongContent.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 6, 32
"d:\project\DATN\spotify-clone\client\src\components\SongItem.tsx", "TypeScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 5, 43
"d:\project\DATN\spotify-clone\client\src\components\SubscribeModel.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 2, 4, 28
"d:\project\DATN\spotify-clone\client\src\components\TexArea.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 27
"d:\project\DATN\spotify-clone\client\src\components\UploadModal.tsx", "TypeScript JSX", 0, 0, 0, 202, 0, 0, 0, 0, 0, 22, 224
"d:\project\DATN\spotify-clone\client\src\contexts\ToastContext.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 10, 58
"d:\project\DATN\spotify-clone\client\src\contexts\UserContext.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 0, 13, 61
"d:\project\DATN\spotify-clone\client\src\hooks\useCreatePlaylistModel.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\project\DATN\spotify-clone\client\src\hooks\useDebounce.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\project\DATN\spotify-clone\client\src\hooks\useLoginModal.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\project\DATN\spotify-clone\client\src\hooks\useOnPlay.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"d:\project\DATN\spotify-clone\client\src\hooks\usePlayer.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\project\DATN\spotify-clone\client\src\hooks\useSignUpModal.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\project\DATN\spotify-clone\client\src\hooks\useSubscribeModel.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\project\DATN\spotify-clone\client\src\hooks\useUploadModal.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\project\DATN\spotify-clone\client\src\libs\helpers.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\project\DATN\spotify-clone\client\src\libs\stripe.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"d:\project\DATN\spotify-clone\client\src\libs\stripeClient.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\project\DATN\spotify-clone\client\src\providers\ModalProvider.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"d:\project\DATN\spotify-clone\client\src\types\index.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 6, 15, 121
"d:\project\DATN\spotify-clone\client\src\utils\api.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\project\DATN\spotify-clone\client\src\utils\apiSSR.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 3, 48
"d:\project\DATN\spotify-clone\client\src\utils\color.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\project\DATN\spotify-clone\client\src\utils\index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"d:\project\DATN\spotify-clone\client\src\utils\songs.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\project\DATN\spotify-clone\client\src\utils\text.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\project\DATN\spotify-clone\client\tailwind.config.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\project\DATN\spotify-clone\client\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 31, 395, 57, 3603, 23, 2, 21, 43, 13, 587, 4775
